competition;program;judge;judge_name;judge_nation
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J4;Mr. Richard Kosina;CZE
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J5;Mr. Yuri Guskov;KAZ
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J6;Ms. Elena Lisova;UKR
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J7;Ms. Christine Hurth;FRA
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J8;Mr. Alexei Beletski;ISR
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J9;Ms. Jodi Abbott;CAN
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J1;Mr. Alexei Beletski;ISR
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J2;Ms. Christine Hurth;FRA
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J3;Mr. Alexandre Gorojdanov;BLR
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J4;Mr. Richard Kosina;CZE
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J5;Mr. Yuri Guskov;KAZ
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J6;Mr. John Millier;USA
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J7;Ms. Elena Lisova;UKR
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J8;Ms. Lolita Labunskaiya;RUS
ISU GP Trophee de France 2016;ICE DANCE FREE DANCE;J9;Ms. Jodi Abbott;CAN
